entity,fractal-value,total-revs
/trunk/src/jmt/gui/jwat/workloadAnalysis/clustering/fuzzyKMean/panels/FuzzyInfoClustering.java,0.5,4
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/panels/StatsPanel.java,0.5,4
/trunk/src/main/java/jmt/engine/NodeSections/Queue.java,0.5,4
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/JWatVariableInputTable.java,0.5,4
/trunk/src/main/java/jmt/gui/jwat/trafficAnalysis/panels/GraphPanel.java,0.5,4
/trunk/src/main/java/jmt/engine/NodeSections/Server.java,0.5,4
/trunk/src/main/java/jmt/jmva/analytical/SolverSingleClosedMVA.java,0.5,4
/trunk/src/main/java/jmt/gui/common/editors/LDStrategyEditor.java,0.5,4
/trunk/src/main/java/jmt/gui/jwat/trafficAnalysis/panels/GraphArrivalPanel.java,0.5,4
/trunk/src/main/java/jmt/gui/common/controller/DispatcherThread.java,0.5,4
/trunk/src/main/java/jmt/gui/jmodel/mainGui/MainWindow.java,0.5,4
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/panels/ClusteringInfoPanel.java,0.5,4
/trunk/src/main/java/jmt/gui/jsim/panels/StationsPanel.java,0.5,4
/trunk/src/main/java/jmt/gui/jsim/panels/ClassesPanel.java,0.5,4
/trunk/src/main/resources/jmt/izpack/jmt_install.xml,0.5,2
/trunk/src/main/java/jmt/gui/common/panels/parametric/SeedPanel.java,0.5,2
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/kMean/ClusterInfoKMean.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/UtilisationBoundsPanel.java,0.5,2
/trunk/src/main/java/jmt/manual/PDFViewerBuffer.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/JobClassList.java,0.5,2
/trunk/src/main/java/jmt/gui/jaba/graphs/JabaGraph.java,0.5,2
/trunk/src/jmt/engine/jwat/input/ProgressStatusListener.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/MeasureUtilities.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/CommandLineSolver.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/input/IntervalInputLoader.java,0.5,2
/trunk/src/jmt/engine/jwat/input/EventStatus.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/JobInfo.java,0.5,2
/trunk/src/main/java/jmt/engine/NetStrategies/RoutingStrategies/EmpiricalStrategy.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/panels/ClusterPanel.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/NetworkList.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel/JGraphMod/BlockingRegion.java,0.5,2
/trunk/examples/Demo_WAFormat.jwatformat,0.5,2
/trunk/src/main/java/jmt/engine/jwat/VariableNumber.java,0.5,2
/trunk/src/main/java/jmt/engine/NetStrategies/RoutingStrategy.java,0.5,2
/trunk/lib/spearlib-0.0.1.jar,0.5,2
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/QQPlotPreviewPanel.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedAB.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/Router.java,0.5,2
/trunk/src/main/java/jmt/engine/random/Empirical.java,0.5,2
/trunk/src/main/java/jmt/gui/jaba/JabaModel.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/DynamicDataAnalyzer.java,0.5,2
/trunk/src/test/java/jmt/analytical/TestBoundingSolvers.java,0.5,2
/trunk/examples/1cl_1stat_mm1.jmva,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/solvers/SolverMultiClosedAMVA.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/input/RndInputLoader.java,0.5,2
/trunk/src/main/java/jmt/engine/NetStrategies/RoutingStrategies/FastestServiceRoutingStrategy.java,0.5,2
/trunk/src/jmt/engine/jwat/input/EventFinishAbort.java,0.5,2
/trunk/lib/spearlib-0.0.2.jar,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/ResidenceTimeBoundsPanel.java,0.5,2
/trunk/src/test/java/jmt/analytical/TestBoundingSolversMulti.java,0.5,2
/trunk/src/jmt/gui/jwat/workloadAnalysis/panels/ScrollBivariatePanel.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/workloadAnalysis/utils/JWatWorkloadManager.java,0.5,2
/trunk/src/jmt/analytical/SolverMultiClosedRECAL.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedBJB.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/SynopsisPanel.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/TreeOptionsPanel.java,0.5,2
/trunk/src/main/java/jmt/common/exception/InputDataException.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/Fork.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/measureOutputs/CSVMeasureOutput.java,0.5,2
/trunk/src/main/resources/jmt/gui/common/Erlang.gif,0.5,2
/trunk/src/main/java/jmt/gui/jsimwiz/JSIMMain.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/chart/DispFuzzyMatrix.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/JGraphMod/JmtJGraph.java,0.5,2
/trunk/src/main/java/jmt/engine/simEngine/SimPredicate.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/tables/JWatVariableInputTableModel.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverSingleClosedGB.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/definitions/JSimGraphModel.java,0.5,2
/trunk/src/main/java/jmt/engine/simEngine/RemoveToken.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimwiz/panels/ClassesPanel.java,0.5,2
/trunk/src/jmt/engine/jwat/DinamicFormat.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/input/AllInputLoader.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/GuiInterface.java,0.5,2
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/fuzzyKMean/FuzzyKMean.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/chart/DispKMeanMatrix.java,0.5,2
/trunk/src/main/java/jmt/gui/common/controller/PADispatcherThread.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimwiz/panels/ConnectionsPanel.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/Log.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/JGraphMod/GraphicalQueueState.java,0.5,2
/trunk/src/jmt/gui/jwat/SwingWorker.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/ClassSwitch.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel/controller/UIState.java,0.5,2
/trunk/examples/Demo_WAData.jwat,0.5,2
/trunk/src/jmt/engine/jwat/input/ProgressMonitorShow.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/controller/SwingWorker.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverSingleClosedAB.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/components/JMTToolBar.java,0.5,2
/trunk/src/main/java/jmt/engine/math/WeightedMeanVar.java,0.5,2
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/renderers/RowHeaderRenderer.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/controller/ConnectState.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/controller/GraphMouseListner.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel/panels/jmodelClassesPanel.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/NetSystem.java,0.5,2
/trunk/src/main/java/jmt/gui/common/panels/parametric/EmptyPanel.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/image/ImageLoader.java,0.5,2
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/EnlargeQQPlotVarVar.java,0.5,2
/trunk/src/main/java/jmt/gui/common/animation/EdgeAnimation.java,0.5,2
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/fuzzyKMean/ClusterInfoFuzzy.java,0.5,2
/trunk/src/jmt/engine/jwat/UnivariateStatistics.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/QueueLengthBoundsPanel.java,0.5,2
/trunk/MavenAdditionalLibrariesRepository/spearlib/spearlib/0.0.2,0.5,2
/trunk/JUnit.pl,0.5,2
/trunk/src/main/java/jmt/engine/simEngine/SimSystem.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/ThroughputBoundsPanel.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/NodeSection.java,0.5,2
/trunk/src/main/java/jmt/gui/jsim/definitions/JSIMModel.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/chart/DispMatrix.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedTreeConvolution.java,0.5,2
/trunk/src/jmt/analytical/SolverMultiClosedNorm.java,0.5,2
/trunk/src/main/java/jmt/engine/simDispatcher/Dispatcher_jSIMschema.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/ServiceTunnel.java,0.5,2
/trunk/src/main/java/jmt/engine/math/parser/ConstantNode.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimwiz/panels/RefSourcePanel.java,0.5,2
/trunk/src/main/java/jmt/engine/simEngine/SimEvent.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/SwingWorker.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/MeasureOutput.java,0.5,2
/trunk/src/main/java/jmt/gui/common/panels/parametric/ServiceTimesPanel.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimwiz/definitions/JSIMModel.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/BlockingQueue.java,0.5,2
/trunk/src/jmt/engine/jwat/ProgressStatusListener.java,0.5,2
/trunk/src/main/java/jmt/jmva/gui/exact/panels/SysPowerBoundsPanel.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverSingleClosedBJB.java,0.5,2
/trunk/src/main/java/jmt/engine/math/Printer.java,0.5,2
/trunk/JUnitTemplate.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/workloadAnalysis/chart/DispQQPlotMatrix.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/BoundsSolverMulti.java,0.5,2
/trunk/src/main/java/jmt/gui/common/animation/QueueNetAnimation.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel/controller/SimulationStateChecker.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/workloadAnalysis/utils/JavaWatColor.java,0.5,2
/trunk/src/main/java/jmt/engine/jaba/PerformanceEngine.java,0.5,2
/trunk/src/jmt/engine/jwat/trafficAnalysis/BurstEngine.java,0.5,2
/trunk/src/jmt/gui/jwat/workloadAnalysis/chart/EnlargeQQPlot.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/definitions/JMTPoint.java,0.5,2
/trunk/src/test/java/jmt/jwat/gui/JwatGuiTest.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/JobSink.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/components/QuickHTMLViewer.java,0.5,2
/trunk/src/main/java/jmt/gui/common/Defaults.java,0.5,2
/trunk/src/main/java/jmt/gui/jaba/graphs/Sectors2DGraph.java,0.5,2
/trunk/src/main/java/jmt/gui/jmodel/controller/ConnectState.java,0.5,2
/trunk/src/main/java/jmt/engine/simEngine/HybridEventQueue.java,0.5,2
/trunk/src/main/java/jmt/gui/jsim,0.5,2
/trunk/src/main/java/jmt/engine/random/engine/RandomEngine.java,0.5,2
/trunk/src/main/java/jmt/engine/NodeSections/RandomSource.java,0.5,2
/trunk/src/main/java/jmt/engine/log/JSimLogger.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/table/editors/ComboBoxCellEditor.java,0.5,2
/trunk/src/main/java/jmt/gui/jaba/panels/DescriptionPanel.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/JobClass.java,0.5,2
/trunk/src/main/java/jmt/engine/random/HyperExpPar.java,0.5,2
/trunk/src/main/java/jmt/engine/random/ErlangPar.java,0.5,2
/trunk/src/main/java/jmt/engine/QueueNet/BlockingRegion.java,0.5,2
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/EventClusteringDone.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedTreeMVA.java,0.5,2
/trunk/src/main/java/jmt/gui/common/serviceStrategies/LDStrategy.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/panels/JModelProblemsWindow.java,0.5,2
/trunk/src/jmt/engine/NetStrategies/QueuePutStrategies/RandStrategy.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/table/editors/ColorCellEditor.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/SimulationDefinition.java,0.5,2
/trunk/src/jmt/engine/jwat/input/ResultLoader.java,0.5,2
/trunk/src/main/java/jmt/framework/gui/listeners/AbstractJMTAction.java,0.5,2
/trunk/src/main/java/jmt/gui/common/panels/ServiceSectionPanel.java,0.5,2
/trunk/src/jmt/engine/jwat/input/ProgressShow.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/StationDefinition.java,0.5,2
/trunk/src/main/java/jmt/gui/common/panels/parametric/ParametricAnalysisPanel.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/BoundsSolver.java,0.5,2
/trunk/src/main/java/jmt/gui/exact/table/ExactCellRenderer.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/XMLSimulationOutput.java,0.5,2
/trunk/src/main/java/jmt/engine/log/LoggerParameters.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/BlockingRegionDefinition.java,0.5,2
/trunk/src/jmt/engine/jwat/workloadAnalysis/clustering/Clustering.java,0.5,2
/trunk/src/main/java/jmt/engine/jwat/Observation.java,0.5,2
/trunk/src/main/java/jmt/engine/random/ReplayerPar.java,0.5,2
/trunk/src/main/java/jmt/gui/jsimgraph/DialogFactory.java,0.5,2
/trunk/src/jmt/engine/random/MMPP2Distr.java,0.5,2
/trunk/src/main/java/jmt/engine/dataAnalysis/measureOutputs/VerboseCSVMeasureOutput.java,0.5,2
/trunk/src/main/java/jmt/gui/common/definitions/ResultsConstants.java,0.5,2
/trunk/src/main/java/jmt/framework/data/Bound.java,0.5,2
/trunk/src/main/java/jmt/gui/jwat/JWatWizard.java,0.5,2
/trunk/src/main/java/jmt/gui/common/xml/XMLConstantNames.java,0.5,2
/trunk/src/main/java/jmt/engine/random/Erlang.java,0.5,2
/trunk/src/jmt/engine/jwat/input/EventSessionLoaded.java,0.5,2
/trunk/src/main/java/jmt/jmva/analytical/ModelFESCApproximator.java,0.49,7
/trunk/src/main/java/jmt/gui/jaba/JabaWizard.java,0.49,7
/trunk/src/main/java/jmt/gui/common/panels/AboutDialogFactory.java,0.49,7
/trunk/src/jmt/gui/jwat/JWatStartScreen.java,0.49,7
/trunk/src/jmt/gui/common/distributions/Burst.java,0.49,7
/trunk/src/jmt/gui/common/distributions/MMPP2.java,0.49,7
/trunk/src/main/java/jmt/gui/common/startScreen/GraphStartScreen.java,0.48,17
/trunk/src/jmt/engine/random/MMPP2.java,0.48,5
/trunk/src/main/java/jmt/framework/gui/graph/DistributionDensityGraph.java,0.48,5
/trunk/src/main/java/jmt/gui/common/panels/parametric/PAResultsWindow.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/panels/SolutionPanel.java,0.48,5
/trunk/src/main/java/jmt/gui/jaba/panels/ServiceDemandsPanel.java,0.48,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/clustering/kMean/panels/KMeansInfoClustering.java,0.48,5
/trunk/src/main/java/jmt/gui/common/distributions/Distribution.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/ExactModel.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/panels/ServiceDemandsPanel.java,0.48,5
/trunk/src/main/java/jmt/gui/common/startScreen/AlphaNumStartScreen.java,0.48,5
/trunk/src/main/java/jmt/gui/jaba/panels/ClassesPanel.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/panels/StationsPanel.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/panels/GraphPanel.java,0.48,5
/trunk/src/jmt/engine/random/MMPP2Par.java,0.48,5
/trunk/src/main/java/jmt/jmva/gui/exact/panels/AMVAPanel.java,0.48,5
/trunk/src/jmt/gui/jwat/JWATConstants.java,0.48,5
/trunk/src/main/java/jmt/gui/jaba/panels/ServiceTimesPanel.java,0.48,5
/trunk/src/jmt/gui/jwat/workloadAnalysis/tables/JWatVariableInputTableModel.java,0.48,5
/trunk/src/main/java/jmt/gui/common/editors/LoadDependentRoutingEditor.java,0.48,5
/trunk/src/main/resources/jmt/common/globalsettings.conf,0.45,7
/trunk/src/jmt/gui/jwat/JWatWizard.java,0.44,6
/trunk/src/main/java/jmt/jmva/gui/exact/panels/ServiceTimesPanel.java,0.44,6
/trunk/src/main/java/jmt/jmva/analytical/SolverMultiClosedRECAL.java,0.44,6
/trunk/src/main/java/jmt/gui/jaba/panels/StationsPanel.java,0.44,6
